TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,Sensor
6/7/2017 7:42,2924,ZONE 00033,38.71804,-97.43562,27.9,1.544,1.4252,15.2103,CD659 12cm rods,3569
6/7/2017 7:43,2925,ZONE 00033,38.71782,-97.43562,23.88,1.4841,1.3226,12.7475,CD659 12cm rods,3569
6/7/2017 7:43,2926,ZONE 00033,38.71764,-97.43561,23.49,1.4784,1.3172,12.5231,CD659 12cm rods,3569
6/7/2017 7:44,2927,ZONE 00033,38.71745,-97.43561,23.17,1.4739,1.3162,12.3409,CD659 12cm rods,3569
6/7/2017 7:44,2928,ZONE 00033,38.71726,-97.4356,30.81,1.5869,1.4547,17.1778,CD659 12cm rods,3569
6/7/2017 7:45,2929,"ZONE 00028, ZONE 00033",38.71707,-97.43561,27.72,1.5406,1.394,15.0914,CD659 12cm rods,3569
6/7/2017 7:45,2930,"ZONE 00028, ZONE 00033",38.71689,-97.43561,31.26,1.5937,1.4599,17.4988,CD659 12cm rods,3569
6/7/2017 7:46,2931,ZONE 00028,38.71671,-97.43562,28.1,1.5462,1.4016,15.3376,CD659 12cm rods,3569
6/7/2017 7:46,2932,ZONE 00028,38.71653,-97.43562,25.67,1.5112,1.3871,13.8083,CD659 12cm rods,3569
6/7/2017 7:46,2933,ZONE 00028,38.71635,-97.43562,27.88,1.5428,1.3912,15.1955,CD659 12cm rods,3569
6/7/2017 7:47,2934,ZONE 00028,38.71616,-97.43561,28.94,1.5587,1.4108,15.8942,CD659 12cm rods,3569
6/7/2017 7:47,2935,"ZONE 00025, ZONE 00028",38.71598,-97.43561,24.45,1.492,1.3169,13.0807,CD659 12cm rods,3569
6/7/2017 7:48,2936,"ZONE 00025, ZONE 00026, ZONE 00028",38.71579,-97.43561,31.77,1.6016,1.4716,17.8725,CD659 12cm rods,3569
6/7/2017 7:48,2937,"ZONE 00025, ZONE 00026",38.71562,-97.43561,27,1.5304,1.3967,14.636,CD659 12cm rods,3569
6/7/2017 7:49,2938,"ZONE 00025, ZONE 00026",38.71543,-97.4356,25.93,1.5146,1.3743,13.9703,CD659 12cm rods,3569
6/7/2017 7:49,2939,ZONE 00025,38.71525,-97.43559,26.32,1.5202,1.3802,14.2084,CD659 12cm rods,3569
6/7/2017 7:50,2940,"ZONE 00022, ZONE 00025",38.71506,-97.4356,27.15,1.5315,1.358,14.7262,CD659 12cm rods,3569
6/7/2017 7:50,2941,"ZONE 00022, ZONE 00025",38.71487,-97.4356,26.28,1.5191,1.3572,14.185,CD659 12cm rods,3569
6/7/2017 7:50,2942,ZONE 00022,38.71469,-97.4356,23.5,1.4784,1.3107,12.5313,CD659 12cm rods,3569
6/7/2017 7:51,2943,ZONE 00022,38.71451,-97.4356,21.46,1.4479,1.2581,11.39,CD659 12cm rods,3569
6/7/2017 7:51,2944,"ZONE 00017, ZONE 00022",38.71433,-97.4356,22.39,1.4615,1.2701,11.9032,CD659 12cm rods,3569
6/7/2017 7:52,2945,"ZONE 00017, ZONE 00022",38.71415,-97.4356,21.31,1.4456,1.2523,11.3106,CD659 12cm rods,3569
6/7/2017 7:52,2946,"ZONE 00017, ZONE 00022",38.71397,-97.4356,20.07,1.4264,1.2084,10.6443,CD659 12cm rods,3569
6/7/2017 7:53,2947,ZONE 00017,38.71379,-97.43559,17.9,1.3936,1.1646,9.529,CD659 12cm rods,3569
6/7/2017 7:53,2948,"ZONE 00016, ZONE 00017",38.71361,-97.43559,18.41,1.4015,1.1797,9.7848,CD659 12cm rods,3569
6/7/2017 7:54,2949,ZONE 00017,38.71342,-97.43559,19.4,1.4162,1.1935,10.2917,CD659 12cm rods,3569
6/7/2017 7:54,2950,ZONE 00017,38.71326,-97.43559,18.62,1.4049,1.1888,9.8922,CD659 12cm rods,3569
6/7/2017 7:54,2951,ZONE 00014,38.71308,-97.43559,23.86,1.4818,1.2501,12.7358,CD659 12cm rods,3569
6/7/2017 7:55,2952,"ZONE 00014, ZONE 00015",38.7129,-97.43559,24.81,1.4965,1.2904,13.2966,CD659 12cm rods,3569
6/7/2017 7:55,2953,"ZONE 00014, ZONE 00015",38.71271,-97.43559,23.25,1.4739,1.2775,12.3886,CD659 12cm rods,3569
6/7/2017 7:56,2954,"ZONE 00014, ZONE 00015",38.71253,-97.43559,26.27,1.5191,1.3659,14.1754,CD659 12cm rods,3569
6/7/2017 7:56,2955,"ZONE 00012, ZONE 00014, ZONE 00015",38.71236,-97.43559,25.21,1.5033,1.3343,13.5337,CD659 12cm rods,3569
6/7/2017 7:57,2956,"ZONE 00012, ZONE 00014",38.71218,-97.43559,27.6,1.5394,1.4186,15.0141,CD659 12cm rods,3569
6/7/2017 7:57,2957,ZONE 00012,38.71198,-97.43558,33.06,1.6242,1.6376,18.8336,CD659 12cm rods,3569
6/7/2017 7:57,2958,ZONE 00012,38.71181,-97.43559,26.84,1.527,1.3525,14.5335,CD659 12cm rods,3569
6/7/2017 7:58,2959,ZONE 00012,38.71164,-97.43559,26.02,1.5146,1.326,14.0226,CD659 12cm rods,3569
6/7/2017 7:58,2960,"ZONE 00007, ZONE 00012",38.71146,-97.43559,22.52,1.4626,1.2445,11.9777,CD659 12cm rods,3569
6/7/2017 7:59,2961,"ZONE 00007, ZONE 00008, ZONE 00012",38.71129,-97.43559,23.92,1.4841,1.3008,12.7736,CD659 12cm rods,3569
6/7/2017 7:59,2962,"ZONE 00007, ZONE 00008",38.71111,-97.43559,23.18,1.4739,1.3088,12.3504,CD659 12cm rods,3569
6/7/2017 8:00,2963,"ZONE 00007, ZONE 00008",38.71093,-97.43559,19.2,1.4174,1.2888,10.188,CD659 12cm rods,3569
6/7/2017 8:00,2964,ZONE 00007,38.7109,-97.43584,20.92,1.4411,1.2806,11.0979,CD659 12cm rods,3569
6/7/2017 8:01,2965,ZONE 00007,38.71109,-97.43584,19.38,1.4162,1.2002,10.2827,CD659 12cm rods,3569
6/7/2017 8:01,2966,"ZONE 00007, ZONE 00012",38.71127,-97.43584,20.64,1.4343,1.2008,10.9474,CD659 12cm rods,3569
6/7/2017 8:02,2967,"ZONE 00007, ZONE 00012",38.71146,-97.43584,22.67,1.466,1.2897,12.0576,CD659 12cm rods,3569
6/7/2017 8:02,2968,"ZONE 00007, ZONE 00012, ZONE 00013",38.71163,-97.43584,23.18,1.4728,1.2742,12.3471,CD659 12cm rods,3569
6/7/2017 8:02,2969,"ZONE 00012, ZONE 00013",38.71181,-97.43584,31.88,1.6073,1.6497,17.9515,CD659 12cm rods,3569
6/7/2017 8:03,2970,"ZONE 00012, ZONE 00013",38.71199,-97.43585,31.64,1.6016,1.5698,17.7753,CD659 12cm rods,3569
6/7/2017 8:03,2971,"ZONE 00012, ZONE 00013, ZONE 00014",38.71217,-97.43584,25.27,1.5044,1.3455,13.5687,CD659 12cm rods,3569
6/7/2017 8:04,2972,"ZONE 00012, ZONE 00014",38.71237,-97.43585,22.76,1.4671,1.2815,12.1128,CD659 12cm rods,3569
6/7/2017 8:04,2973,ZONE 00014,38.71254,-97.43585,24.76,1.4965,1.3214,13.2636,CD659 12cm rods,3569
6/7/2017 8:05,2974,ZONE 00014,38.71272,-97.43585,24.69,1.4965,1.3549,13.2235,CD659 12cm rods,3569
6/7/2017 8:05,2975,ZONE 00014,38.7129,-97.43584,23.62,1.4795,1.2905,12.6015,CD659 12cm rods,3569
6/7/2017 8:06,2976,ZONE 00014,38.71308,-97.43584,23.25,1.4728,1.2359,12.3881,CD659 12cm rods,3569
6/7/2017 8:06,2977,"ZONE 00014, ZONE 00017",38.71326,-97.43585,19.26,1.4151,1.2143,10.2221,CD659 12cm rods,3569
6/7/2017 8:06,2978,ZONE 00017,38.71343,-97.43584,19.29,1.4151,1.2043,10.2361,CD659 12cm rods,3569
6/7/2017 8:07,2979,"ZONE 00017, ZONE 00062",38.71361,-97.43585,14.99,1.3507,1.1508,8.1106,CD659 12cm rods,3569
6/7/2017 8:07,2980,ZONE 00017,38.7138,-97.43586,15.46,1.3575,1.1504,8.3316,CD659 12cm rods,3569
6/7/2017 8:08,2981,ZONE 00017,38.71397,-97.43586,19.04,1.4117,1.2084,10.1075,CD659 12cm rods,3569
6/7/2017 8:08,2982,"ZONE 00017, ZONE 00022",38.71414,-97.43585,23.91,1.4829,1.266,12.7655,CD659 12cm rods,3569
6/7/2017 8:09,2983,"ZONE 00017, ZONE 00021, ZONE 00022",38.71432,-97.43587,24.95,1.4988,1.3004,13.3805,CD659 12cm rods,3569
6/7/2017 8:09,2984,"ZONE 00017, ZONE 00021, ZONE 00022",38.7145,-97.43586,25.5,1.5067,1.3014,13.7108,CD659 12cm rods,3569
6/7/2017 8:10,2985,"ZONE 00021, ZONE 00022",38.71468,-97.43586,25.58,1.5078,1.3017,13.7581,CD659 12cm rods,3569
6/7/2017 8:10,2986,"ZONE 00021, ZONE 00022, ZONE 00025",38.71485,-97.43585,24.92,1.4988,1.3215,13.358,CD659 12cm rods,3569
6/7/2017 8:10,2987,"ZONE 00022, ZONE 00025",38.71503,-97.43585,28.21,1.5474,1.3774,15.4115,CD659 12cm rods,3569
6/7/2017 8:11,2988,ZONE 00025,38.71523,-97.43585,25.17,1.5021,1.3125,13.5097,CD659 12cm rods,3569
6/7/2017 8:11,2989,ZONE 00025,38.71541,-97.43585,28.94,1.5587,1.4107,15.8943,CD659 12cm rods,3569
6/7/2017 8:12,2990,ZONE 00025,38.71558,-97.43585,28.51,1.553,1.4398,15.6057,CD659 12cm rods,3569
6/7/2017 8:12,2991,"ZONE 00025, ZONE 00028",38.71575,-97.43585,28.06,1.5462,1.4245,15.3135,CD659 12cm rods,3569
6/7/2017 8:13,2992,"ZONE 00025, ZONE 00028",38.71592,-97.43585,26.87,1.5281,1.3831,14.5514,CD659 12cm rods,3569
6/7/2017 8:14,2993,"ZONE 00025, ZONE 00028, ZONE 00029",38.7161,-97.43586,28.34,1.5496,1.4001,15.4923,CD659 12cm rods,3569
