TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period ( us ),Attenuation,Permittivity,Probe Model,Sensor
12/10/2019 11:01,1828,[Unspecified Zone],38.7109,-97.43681,21.3,1.423,1.1802,11.3056,CD659 12cm rods,
12/10/2019 11:02,1829,[Unspecified Zone],38.71163,-97.4368,13.49,1.3032,1.0709,7.4091,CD659 12cm rods,
12/10/2019 11:04,1830,[Unspecified Zone],38.71247,-97.43678,13.08,1.2976,1.0799,7.2214,CD659 12cm rods,
12/10/2019 11:05,1831,[Unspecified Zone],38.71331,-97.43675,15.12,1.3281,1.0749,8.167901,CD659 12cm rods,
12/10/2019 11:06,1832,[Unspecified Zone],38.71408,-97.43673,15.23,1.3315,1.1036,8.2241,CD659 12cm rods,
12/10/2019 11:07,1833,[Unspecified Zone],38.71476,-97.43671,16.48,1.3518,1.1411,8.822301,CD659 12cm rods,
12/10/2019 11:08,1834,[Unspecified Zone],38.71559,-97.43669,14.8,1.3258,1.1158,8.0207,CD659 12cm rods,
12/10/2019 11:09,1835,[Unspecified Zone],38.71626,-97.43668,15.64,1.3405,1.1547,8.4204,CD659 12cm rods,
12/10/2019 11:10,1836,[Unspecified Zone],38.71702,-97.43667,14.04,1.3156,1.1341,7.6615,CD659 12cm rods,
12/10/2019 11:11,1837,[Unspecified Zone],38.71767,-97.43665,17.13,1.3654,1.2158,9.1442,CD659 12cm rods,
12/10/2019 11:12,1838,[Unspecified Zone],38.71796,-97.43665,27.02,1.5101,1.3745,14.6439,CD659 12cm rods,
12/10/2019 11:15,1839,[Unspecified Zone],38.71797,-97.43565,21.07,1.4219,1.2382,11.1793,CD659 12cm rods,
12/10/2019 11:16,1840,[Unspecified Zone],38.71756,-97.43567,13.47,1.3066,1.1242,7.4015,CD659 12cm rods,
12/10/2019 11:17,1841,[Unspecified Zone],38.71684,-97.43569,15.58,1.3394,1.1514,8.3896,CD659 12cm rods,
12/10/2019 11:18,1842,[Unspecified Zone],38.71608,-97.43574,20.67,1.414,1.1828,10.9613,CD659 12cm rods,
12/10/2019 11:19,1843,[Unspecified Zone],38.71521,-97.43574,16.03,1.345,1.1365,8.6049,CD659 12cm rods,
12/10/2019 11:20,1844,[Unspecified Zone],38.71453,-97.43575,16.21,1.3462,1.1079,8.6934,CD659 12cm rods,
