TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period ,Attenuation,Permittivity,Probe Model,Sensor
5/23/2017 10:54,1529,ZONE 00032,38.71801,-97.43667,43.31,1.7994,1.8554,28.6343,CD659 12cm rods,
5/23/2017 10:54,1530,ZONE 00032,38.71796,-97.43639,42.16,1.7768,1.7423,27.2852,CD659 12cm rods,
5/23/2017 10:55,1531,ZONE 00032,38.71796,-97.43639,42.16,1.7768,1.7423,27.2852,CD659 12cm rods,
5/23/2017 10:55,1532,ZONE 00033,38.71796,-97.43612,41.57,1.7655,1.6545,26.6229,CD659 12cm rods,
5/23/2017 10:55,1533,ZONE 00033,38.71794,-97.43585,38.6,1.7124,1.65,23.5654,CD659 12cm rods,
5/23/2017 10:56,1534,ZONE 00033,38.71793,-97.43557,38.88,1.7169,1.5749,23.8428,CD659 12cm rods,
5/23/2017 10:56,1535,"ZONE 00033, ZONE 00034",38.71792,-97.4353,40.6,1.7485,1.7762,25.5797,CD659 12cm rods,
5/23/2017 10:57,1536,ZONE 00034,38.71791,-97.43501,32.24,1.6073,1.3263,18.2141,CD659 12cm rods,
5/23/2017 10:57,1537,ZONE 00034,38.71791,-97.43474,33.88,1.6333,1.3812,19.4699,CD659 12cm rods,
5/23/2017 10:57,1538,ZONE 00034,38.71791,-97.43446,38.97,1.7192,1.6849,23.93,CD659 12cm rods,
5/23/2017 10:58,1539,ZONE 00034,38.71791,-97.43417,40.96,1.7542,1.6626,25.9583,CD659 12cm rods,
5/23/2017 10:58,1540,ZONE 00034,38.71789,-97.43384,40.27,1.7418,1.6614,25.2357,CD659 12cm rods,
5/23/2017 10:59,1541,"ZONE 00031, ZONE 00034",38.71765,-97.43376,39.19,1.7225,1.6437,24.1419,CD659 12cm rods,
5/23/2017 10:59,1542,"ZONE 00031, ZONE 00034",38.71766,-97.43406,37.49,1.6932,1.3729,22.5325,CD659 12cm rods,
5/23/2017 11:00,1543,ZONE 00034,38.71765,-97.43434,35.4,1.6581,1.3049,20.7037,CD659 12cm rods,
5/23/2017 11:00,1544,ZONE 00034,38.71766,-97.43463,35,1.6513,1.3589,20.3742,CD659 12cm rods,
5/23/2017 11:00,1545,ZONE 00034,38.71765,-97.43491,32.52,1.6118,1.357,18.4246,CD659 12cm rods,
5/23/2017 11:01,1546,"ZONE 00033, ZONE 00034",38.71765,-97.43518,38.82,1.7169,1.3535,23.7865,CD659 12cm rods,
5/23/2017 11:01,1547,ZONE 00033,38.71766,-97.43546,36.15,1.6706,1.5053,21.348,CD659 12cm rods,
5/23/2017 11:02,1548,ZONE 00033,38.71767,-97.43574,40.36,1.744,1.4381,25.3279,CD659 12cm rods,
5/23/2017 11:02,1549,"ZONE 00032, ZONE 00033",38.71766,-97.43601,40.86,1.7531,1.4699,25.8552,CD659 12cm rods,
5/23/2017 11:02,1550,"ZONE 00032, ZONE 00033",38.71766,-97.43629,42.33,1.7802,1.5996,27.4838,CD659 12cm rods,
5/23/2017 11:03,1551,"ZONE 00032, ZONE 00033",38.71766,-97.43658,41.99,1.7734,1.6403,27.0902,CD659 12cm rods,
5/23/2017 11:03,1552,"ZONE 00032, ZONE 00033",38.71742,-97.43657,42.17,1.7768,1.6293,27.2898,CD659 12cm rods,
5/23/2017 11:04,1553,"ZONE 00032, ZONE 00033",38.71742,-97.43657,42.17,1.7768,1.6293,27.2898,CD659 12cm rods,
5/23/2017 11:04,1554,"ZONE 00032, ZONE 00033",38.71741,-97.4363,40.84,1.7519,1.5737,25.8272,CD659 12cm rods,
5/23/2017 11:04,1555,"ZONE 00032, ZONE 00033",38.7174,-97.43604,42.86,1.7926,1.4268,28.0994,CD659 12cm rods,
5/23/2017 11:05,1556,ZONE 00033,38.7174,-97.43576,40.27,1.7418,1.5234,25.2364,CD659 12cm rods,
5/23/2017 11:05,1557,ZONE 00033,38.71739,-97.43549,39.26,1.7237,1.4897,24.2166,CD659 12cm rods,
5/23/2017 11:06,1558,"ZONE 00033, ZONE 00034",38.71738,-97.43521,38.54,1.7112,1.4141,23.5136,CD659 12cm rods,
5/23/2017 11:06,1559,"ZONE 00030, ZONE 00033, ZONE 00034",38.71738,-97.43491,36.29,1.6728,1.3576,21.4675,CD659 12cm rods,
5/23/2017 11:07,1560,"ZONE 00030, ZONE 00034",38.71738,-97.43462,35.06001,1.6525,1.3286,20.4265,CD659 12cm rods,
5/23/2017 11:07,1561,"ZONE 00031, ZONE 00034",38.71738,-97.43434,29.99,1.5722,1.217,16.604,CD659 12cm rods,
5/23/2017 11:07,1562,"ZONE 00031, ZONE 00034",38.71737,-97.43407,34.98,1.6513,1.2925,20.3603,CD659 12cm rods,
5/23/2017 11:08,1563,"ZONE 00031, ZONE 00034",38.7174,-97.43375,41.69,1.7678,1.6299,26.7553,CD659 12cm rods,
5/23/2017 11:09,1564,ZONE 00031,38.71714,-97.43369,40.43,1.7452,1.7426,25.4,CD659 12cm rods,
5/23/2017 11:09,1565,"ZONE 00030, ZONE 00031",38.71711,-97.43395,37.96,1.7011,1.4055,22.9641,CD659 12cm rods,
5/23/2017 11:10,1566,"ZONE 00030, ZONE 00031, ZONE 00034",38.71707,-97.43423,32.6,1.6129,1.2819,18.4862,CD659 12cm rods,
5/23/2017 11:10,1567,"ZONE 00030, ZONE 00031, ZONE 00034",38.71705,-97.43452,36.7,1.6796,1.3728,21.8225,CD659 12cm rods,
5/23/2017 11:11,1568,"ZONE 00030, ZONE 00034",38.71705,-97.43478,34.72,1.6468,1.3869,20.147,CD659 12cm rods,
5/23/2017 11:11,1569,"ZONE 00030, ZONE 00033",38.71704,-97.43507,34.64,1.6457,1.2876,20.0783,CD659 12cm rods,
5/23/2017 11:12,1570,"ZONE 00028, ZONE 00030, ZONE 00033",38.71702,-97.43537,36.7,1.6796,1.518,21.8231,CD659 12cm rods,
5/23/2017 11:12,1571,"ZONE 00028, ZONE 00033",38.71701,-97.4356,41,1.7553,1.5013,25.9995,CD659 12cm rods,
5/23/2017 11:13,1572,"ZONE 00028, ZONE 00033",38.71702,-97.43587,40.2,1.7406,1.4816,25.1591,CD659 12cm rods,
5/23/2017 11:13,1573,"ZONE 00029, ZONE 00032, ZONE 00033",38.71701,-97.43615,42.04,1.7745,1.5911,27.1473,CD659 12cm rods,
5/23/2017 11:13,1574,"ZONE 00029, ZONE 00032, ZONE 00033",38.71701,-97.43646,40.9,1.7531,1.5847,25.8939,CD659 12cm rods,
5/23/2017 11:14,1575,"ZONE 00029, ZONE 00032",38.71701,-97.43674,41.31,1.761,1.5305,26.3362,CD659 12cm rods,
5/23/2017 11:14,1576,"ZONE 00029, ZONE 00032",38.71677,-97.43673,40.33,1.7429,1.5119,25.2972,CD659 12cm rods,
5/23/2017 11:15,1577,"ZONE 00029, ZONE 00032",38.71679,-97.43643,40.72,1.7497,1.6025,25.6996,CD659 12cm rods,
5/23/2017 11:15,1578,"ZONE 00028, ZONE 00029, ZONE 00033",38.7168,-97.43616,42.33,1.7813,1.4752,27.4831,CD659 12cm rods,
5/23/2017 11:16,1579,"ZONE 00028, ZONE 00029, ZONE 00033",38.71681,-97.43589,41.41,1.7632,1.4986,26.4516,CD659 12cm rods,
5/23/2017 11:16,1580,"ZONE 00028, ZONE 00033",38.7168,-97.43561,40.46,1.7452,1.5229,25.4284,CD659 12cm rods,
5/23/2017 11:17,1581,"ZONE 00028, ZONE 00030, ZONE 00033",38.71681,-97.43534,38.82,1.7158,1.5477,23.7831,CD659 12cm rods,
5/23/2017 11:17,1582,"ZONE 00028, ZONE 00030",38.71681,-97.43507,35.41,1.6581,1.3513,20.7157,CD659 12cm rods,
5/23/2017 11:17,1583,ZONE 00030,38.71682,-97.43478,35.88,1.666,1.3464,21.1169,CD659 12cm rods,
5/23/2017 11:18,1584,ZONE 00030,38.71682,-97.4345,37.77,1.6977,1.4527,22.7938,CD659 12cm rods,
5/23/2017 11:18,1585,"ZONE 00030, ZONE 00031",38.71683,-97.43419,35.32,1.657,1.2787,20.637,CD659 12cm rods,
5/23/2017 11:19,1586,"ZONE 00030, ZONE 00031",38.71682,-97.43391,35.96,1.6672,1.4179,21.1843,CD659 12cm rods,
5/23/2017 11:19,1587,ZONE 00031,38.71685,-97.43359,38.69,1.7135,1.5409,23.6584,CD659 12cm rods,
5/23/2017 11:20,1588,"ZONE 00027, ZONE 00031",38.71662,-97.43355,41.13,1.7576,1.7293,26.1398,CD659 12cm rods,
5/23/2017 11:20,1589,"ZONE 00027, ZONE 00030, ZONE 00031",38.71659,-97.43382,36.57,1.6773,1.4411,21.714,CD659 12cm rods,
5/23/2017 11:21,1590,"ZONE 00027, ZONE 00030, ZONE 00031",38.71658,-97.4341,35.83,1.666,1.2455,21.0724,CD659 12cm rods,
5/23/2017 11:21,1591,ZONE 00030,38.71657,-97.43439,35.47,1.6593,1.3215,20.7659,CD659 12cm rods,
5/23/2017 11:22,1592,ZONE 00030,38.71656,-97.43466,35.55,1.6604,1.3978,20.8352,CD659 12cm rods,
5/23/2017 11:22,1593,"ZONE 00028, ZONE 00030",38.71655,-97.43492,36.19,1.6717,1.2865,21.3813,CD659 12cm rods,
5/23/2017 11:23,1594,"ZONE 00028, ZONE 00030",38.71654,-97.4352,39.52,1.7282,1.4945,24.4685,CD659 12cm rods,
