TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,Sensor
5/30/2017 9:52,2260,ZONE 00010,38.71097,-97.43266,35.01,1.6559,1.7258,20.3856,CD659 12cm rods,
5/30/2017 9:53,2261,ZONE 00010,38.71118,-97.43269,36.01,1.6683,1.5178,21.2247,CD659 12cm rods,
5/30/2017 9:53,2262,ZONE 00010,38.71137,-97.43269,37.08,1.6864,1.588,22.1609,CD659 12cm rods,
5/30/2017 9:54,2263,ZONE 00010,38.71157,-97.43271,38.81,1.718,1.7969,23.7755,CD659 12cm rods,
5/30/2017 9:54,2264,ZONE 00003,38.71197,-97.43275,39.62,1.7316,1.7893,24.5718,CD659 12cm rods,
5/30/2017 9:55,2265,ZONE 00003,38.71217,-97.43276,40.63,1.7519,1.9502,25.6111,CD659 12cm rods,
5/30/2017 9:55,2266,"ZONE 00001, ZONE 00003",38.71237,-97.43278,41.49,1.7655,1.8673,26.5301,CD659 12cm rods,
5/30/2017 9:56,2267,"ZONE 00001, ZONE 00003",38.71258,-97.43278,46.35,1.8638,2.1932,32.6145,CD659 12cm rods,
5/30/2017 9:56,2268,"ZONE 00001, ZONE 00003",38.71278,-97.43275,44.01,1.8152,2.052,29.4936,CD659 12cm rods,
5/30/2017 9:56,2269,ZONE 00001,38.71299,-97.43267,42.44,1.7847,1.9834,27.6074,CD659 12cm rods,
5/30/2017 9:57,2270,ZONE 00001,38.71323,-97.43272,40.29,1.7429,1.7603,25.2565,CD659 12cm rods,
5/30/2017 9:57,2271,ZONE 00004,38.71321,-97.43297,39.34,1.7259,1.7244,24.2936,CD659 12cm rods,
5/30/2017 9:58,2272,"ZONE 00001, ZONE 00004",38.71301,-97.43298,38.83,1.718,1.7822,23.7904,CD659 12cm rods,
5/30/2017 9:58,2273,"ZONE 00001, ZONE 00003, ZONE 00004",38.7128,-97.43298,35.64,1.6638,1.6345,20.9118,CD659 12cm rods,
5/30/2017 9:58,2274,"ZONE 00001, ZONE 00003",38.71259,-97.43298,38.19,1.7056,1.6637,23.1777,CD659 12cm rods,
5/30/2017 9:59,2275,ZONE 00003,38.7124,-97.43298,36.65,1.6796,1.6147,21.7783,CD659 12cm rods,
5/30/2017 10:00,2276,ZONE 00003,38.7122,-97.43298,35.5,1.6604,1.5573,20.7892,CD659 12cm rods,
5/30/2017 10:02,2277,ZONE 00003,38.712,-97.43299,35.86,1.6672,1.6343,21.0936,CD659 12cm rods,
5/30/2017 10:03,2278,ZONE 00003,38.71178,-97.43299,37.01,1.6864,1.6801,22.0991,CD659 12cm rods,
5/30/2017 10:03,2279,ZONE 00010,38.71157,-97.433,41.01,1.7576,1.9051,26.0108,CD659 12cm rods,
5/30/2017 10:04,2280,ZONE 00010,38.71136,-97.433,37.48,1.6966,1.8108,22.5274,CD659 12cm rods,
5/30/2017 10:04,2281,"ZONE 00009, ZONE 00010",38.71114,-97.43299,36.68,1.6807,1.6621,21.8043,CD659 12cm rods,
5/30/2017 10:04,2282,"ZONE 00009, ZONE 00010",38.71112,-97.43327,36.67,1.6807,1.6683,21.7991,CD659 12cm rods,
5/30/2017 10:05,2283,"ZONE 00009, ZONE 00010",38.71134,-97.43327,33.18,1.6242,1.5481,18.9303,CD659 12cm rods,
5/30/2017 10:05,2284,[Unspecified Zone],38.71154,-97.43327,34.23,1.64,1.5299,19.7504,CD659 12cm rods,
5/30/2017 10:06,2285,ZONE 00003,38.71175,-97.43327,35.85,1.666,1.5644,21.0832,CD659 12cm rods,
5/30/2017 10:06,2286,ZONE 00003,38.71196,-97.43327,41.49,1.7655,1.8591,26.5369,CD659 12cm rods,
5/30/2017 10:07,2287,ZONE 00003,38.71216,-97.43327,38.96,1.7192,1.7,23.921,CD659 12cm rods,
5/30/2017 10:07,2288,ZONE 00003,38.71235,-97.43327,35.29,1.657,1.5511,20.6151,CD659 12cm rods,
5/30/2017 10:07,2289,"ZONE 00003, ZONE 00004",38.71255,-97.43327,32.64,1.614,1.4138,18.5146,CD659 12cm rods,
5/30/2017 10:08,2290,"ZONE 00003, ZONE 00004",38.71275,-97.43327,33.97,1.6355,1.4877,19.5459,CD659 12cm rods,
5/30/2017 10:08,2291,"ZONE 00003, ZONE 00004",38.71297,-97.43327,34.07,1.6366,1.4332,19.6267,CD659 12cm rods,
5/30/2017 10:09,2292,ZONE 00004,38.71316,-97.43326,31.17,1.5914,1.3956,17.4353,CD659 12cm rods,
5/30/2017 10:09,2293,ZONE 00004,38.71336,-97.43326,33.07,1.6208,1.4206,18.8443,CD659 12cm rods,
5/30/2017 10:09,2294,"ZONE 00004, ZONE 00020",38.71357,-97.43326,33.91,1.6344,1.4744,19.4958,CD659 12cm rods,
5/30/2017 10:10,2295,"ZONE 00004, ZONE 00020",38.71377,-97.43326,33.7,1.631,1.4675,19.3286,CD659 12cm rods,
