TimeStamp,Record,Zone,Latitude,Longitude,Moisture,Period,Attenuation,Permittivity,Probe Model,Sensor,Probe_Model,Period ( us ),Period 
2017-05-09 07:08:00,56,ZONE 00006,38.71096,-97.43689,28.65,1.5541,1.3962,15.7012,,,CD659 12cm rods,,
2017-05-09 07:08:00,57,ZONE 00006,38.71095,-97.43687,28.65,1.5541,1.3962,15.7012,,,CD659 12cm rods,,
2017-05-09 07:08:00,58,"ZONE 00006, ZONE 00007",38.71094,-97.43653,24.31,1.4886,1.2611,13.0,,,CD659 12cm rods,,
2017-05-09 07:09:00,59,"ZONE 00006, ZONE 00007",38.71094,-97.43625,25.7,1.5078,1.2071,13.8298,,,CD659 12cm rods,,
2017-05-09 07:09:00,60,ZONE 00007,38.71094,-97.43597,28.63,1.5519,1.2712,15.6838,,,CD659 12cm rods,,
2017-05-09 07:09:00,61,ZONE 00007,38.71094,-97.43597,28.63,1.5519,1.2712,15.6838,,,CD659 12cm rods,,
2017-05-09 07:10:00,62,"ZONE 00007, ZONE 00008",38.71093,-97.43568,27.3,1.5327,1.3039,14.8214,,,CD659 12cm rods,,
2017-05-09 07:10:00,63,"ZONE 00007, ZONE 00008",38.71094,-97.43541,31.11,1.5903,1.3823,17.3891,,,CD659 12cm rods,,
2017-05-09 07:10:00,64,"ZONE 00007, ZONE 00008",38.71093,-97.43515,28.54,1.5519,1.3671,15.6239,,,CD659 12cm rods,,
2017-05-09 07:11:00,65,ZONE 00008,38.71093,-97.43488,29.87,1.5722,1.4079,16.5235,,,CD659 12cm rods,,
2017-05-09 07:11:00,66,ZONE 00008,38.71093,-97.43488,29.87,1.5722,1.4079,16.5235,,,CD659 12cm rods,,
2017-05-09 07:11:00,67,"ZONE 00008, ZONE 00009",38.71093,-97.43461,28.3,1.5485,1.3736,15.4657,,,CD659 12cm rods,,
2017-05-09 07:12:00,69,"ZONE 00008, ZONE 00009",38.71091,-97.43406,25.75,1.5112,1.3436,13.8594,,,CD659 12cm rods,,
2017-05-09 07:12:00,68,"ZONE 00008, ZONE 00009",38.71092,-97.43433,26.12,1.5168,1.3612,14.0829,,,CD659 12cm rods,,
2017-05-09 07:13:00,70,ZONE 00009,38.71092,-97.43378,27.12,1.5315,1.3771,14.7071,,,CD659 12cm rods,,
2017-05-09 07:13:00,71,ZONE 00009,38.71092,-97.43378,27.12,1.5315,1.3771,14.7071,,,CD659 12cm rods,,
2017-05-09 07:13:00,72,"ZONE 00009, ZONE 00010",38.71092,-97.4335,36.99,1.6886,1.8085,22.0823,,,CD659 12cm rods,,
2017-05-09 07:13:00,73,"ZONE 00009, ZONE 00010",38.71092,-97.43322,36.72,1.683,1.7468,21.8441,,,CD659 12cm rods,,
2017-05-09 07:14:00,74,"ZONE 00009, ZONE 00010",38.71092,-97.43295,33.74,1.6344,1.6347,19.3629,,,CD659 12cm rods,,
2017-05-09 07:14:00,75,ZONE 00010,38.71092,-97.43268,39.36,1.7282,1.852,24.3089,,,CD659 12cm rods,,
2017-05-09 07:14:00,76,ZONE 00010,38.71092,-97.43268,39.36,1.7282,1.852,24.3089,,,CD659 12cm rods,,
2017-05-09 07:15:00,77,ZONE 00010,38.71094,-97.4324,35.65,1.666,1.7441,20.9135,,,CD659 12cm rods,,
2017-05-09 07:15:00,78,ZONE 00010,38.71114,-97.43243,35.08,1.6536,1.5469,20.4405,,,CD659 12cm rods,,
2017-05-09 07:16:00,79,ZONE 00010,38.71114,-97.43271,33.11,1.622,1.4782,18.8702,,,CD659 12cm rods,,
2017-05-09 07:16:00,80,"ZONE 00009, ZONE 00010",38.71115,-97.43298,34.92,1.6513,1.5666,20.3094,,,CD659 12cm rods,,
